fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Levan Chokheli,Leon Shahbazyan,Coolbet,Under,1.5,1.62,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,1xBet,Over,1.5,2.36,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,1xBet,Under,1.5,1.55,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,BetOnline.ag,Over,1.5,2.3,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,BetOnline.ag,Under,1.5,1.67,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,BetOnline.ag,Over,1.5,1.61,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,BetOnline.ag,Under,1.5,2.45,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Over,2.5,2.15,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Under,2.5,1.69,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,Pinnacle,Over,1.5,1.6,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,Pinnacle,Under,1.5,2.38,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,Coolbet,Over,1.5,1.59,2026-06-16,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,Coolbet,Under,1.5,2.45,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,Pinnacle,Over,2.5,1.7,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,Pinnacle,Under,2.5,2.18,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,Coolbet,Over,2.5,1.71,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,Coolbet,Under,2.5,2.2,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,BetOnline.ag,Over,2.5,1.71,2026-06-16,2026-06-20
Otari Tanzilovi,Shane Collins,BetOnline.ag,Under,2.5,2.2,2026-06-16,2026-06-20
Manel Kape,Kyoji Horiguchi,BetOnline.ag,Over,4.5,1.76,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,BetOnline.ag,Under,4.5,2.11,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,1xBet,Over,4.5,1.77,2026-06-16,2026-06-21
Manel Kape,Kyoji Horiguchi,1xBet,Under,4.5,2.0,2026-06-16,2026-06-21
