fighter_1,fighter_2,bookmaker,type,point,price,fetched_at,commence_time
Alex Pereira,Ciryl Gane,Pinnacle,Under,2.5,2.37,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,Coolbet,Over,2.5,1.63,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,Coolbet,Under,2.5,2.35,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,BetAnything,Over,2.5,1.59,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,BetAnything,Under,2.5,2.4,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,3.5,2.06,2026-06-13,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,3.5,1.72,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,BetOnline.ag,Over,1.5,1.96,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,BetOnline.ag,Under,1.5,1.86,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,Pinnacle,Over,1.5,1.93,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,Pinnacle,Under,1.5,1.89,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.91,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,1.83,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,Coolbet,Over,1.5,1.87,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,Coolbet,Under,1.5,1.95,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,BetAnything,Over,1.5,1.87,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,BetAnything,Under,1.5,1.87,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,1.97,2026-06-13,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,1.78,2026-06-13,2026-06-15
Kevin Borjas,Andre Lima,1xBet,Over,2.5,1.63,2026-06-13,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Under,2.5,2.2,2026-06-13,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Over,1.5,1.68,2026-06-13,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Under,1.5,2.1,2026-06-13,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Over,1.5,1.45,2026-06-13,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Under,1.5,2.65,2026-06-13,2026-06-20
Luana Santos,Karol Rosa,1xBet,Over,2.5,1.22,2026-06-13,2026-06-20
Luana Santos,Karol Rosa,1xBet,Under,2.5,4.0,2026-06-13,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Over,1.5,1.5,2026-06-13,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Under,1.5,2.48,2026-06-13,2026-06-20
Manel Kape,Kyoji Horiguchi,1xBet,Over,2.5,1.38,2026-06-13,2026-06-21
Manel Kape,Kyoji Horiguchi,1xBet,Under,2.5,2.9,2026-06-13,2026-06-21
Brandon Royval,Lone'er Kavanagh,1xBet,Over,2.5,1.5,2026-06-13,2026-07-11
Brandon Royval,Lone'er Kavanagh,1xBet,Under,2.5,2.48,2026-06-13,2026-07-11
Gable Steveson,Elisha Ellison,1xBet,Over,0.5,1.45,2026-06-13,2026-07-12
Gable Steveson,Elisha Ellison,1xBet,Under,0.5,2.65,2026-06-13,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Over,2.5,1.4,2026-06-13,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Under,2.5,2.8,2026-06-13,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Over,2.5,2.16,2026-06-13,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Under,2.5,1.65,2026-06-13,2026-07-12
Conor McGregor,Max Holloway,1xBet,Over,2.5,2.05,2026-06-13,2026-07-12
Conor McGregor,Max Holloway,1xBet,Under,2.5,1.77,2026-06-13,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.33,2026-06-13,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.56,2026-06-13,2026-07-12
Diego Lopes,Steve Garcia Jr.,BetOnline.ag,Over,1.5,1.69,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,BetOnline.ag,Under,1.5,2.25,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,1xBet,Over,1.5,1.77,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,1xBet,Under,1.5,2.0,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,Pinnacle,Over,1.5,1.69,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,Pinnacle,Under,1.5,2.21,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,Coolbet,Over,1.5,1.77,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,Coolbet,Under,1.5,2.1,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,BetAnything,Over,1.5,1.71,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,BetAnything,Under,1.5,2.1,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,PMU (FR),Over,1.5,1.79,2026-06-14,2026-06-15
Diego Lopes,Steve Garcia Jr.,PMU (FR),Under,1.5,1.96,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,BetOnline.ag,Over,1.5,1.62,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,BetOnline.ag,Under,1.5,2.4,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,1xBet,Over,2.5,2.2,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,1xBet,Under,2.5,1.67,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,Pinnacle,Over,1.5,1.63,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,Pinnacle,Under,1.5,2.32,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,Coolbet,Over,1.5,1.62,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,Coolbet,Under,1.5,2.35,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,BetAnything,Over,1.5,1.62,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,BetAnything,Under,1.5,2.3,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,PMU (FR),Over,1.5,1.65,2026-06-14,2026-06-15
Bo Nickal,Kyle Daukaus,PMU (FR),Under,1.5,2.17,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,BetOnline.ag,Over,1.5,2.05,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,BetOnline.ag,Under,1.5,1.8,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,1xBet,Over,1.5,2.05,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,1xBet,Under,1.5,1.74,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,Pinnacle,Over,1.5,2.05,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,Pinnacle,Under,1.5,1.8,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,Coolbet,Over,1.5,2.1,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,Coolbet,Under,1.5,1.77,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,BetAnything,Over,1.5,1.95,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,BetAnything,Under,1.5,1.8,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,PMU (FR),Over,1.5,2.02,2026-06-14,2026-06-15
Mauricio Ruffy,Michael Chandler,PMU (FR),Under,1.5,1.73,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,Coolbet,Over,1.5,2.65,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,Coolbet,Under,1.5,1.5,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,BetOnline.ag,Over,1.5,2.7,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,BetOnline.ag,Under,1.5,1.51,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,1xBet,Over,1.5,2.5,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,1xBet,Under,1.5,1.53,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,BetAnything,Over,1.5,2.65,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,BetAnything,Under,1.5,1.51,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,Pinnacle,Over,1.5,2.65,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,Pinnacle,Under,1.5,1.5,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,PMU (FR),Over,1.5,2.7,2026-06-14,2026-06-15
Derrick Lewis,Josh Hokit,PMU (FR),Under,1.5,1.43,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,BetOnline.ag,Over,2.5,1.54,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,BetOnline.ag,Under,2.5,2.61,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,1xBet,Over,2.5,1.48,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,1xBet,Under,2.5,2.6,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,Pinnacle,Over,2.5,1.54,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,Pinnacle,Under,2.5,2.54,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,Coolbet,Over,2.5,1.53,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,Coolbet,Under,2.5,2.58,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,BetAnything,Over,2.5,1.54,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,BetAnything,Under,2.5,2.55,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,PMU (FR),Over,2.5,1.47,2026-06-14,2026-06-15
Sean O'Malley,Aiemann Zahabi,PMU (FR),Under,2.5,2.55,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,BetOnline.ag,Over,2.5,1.59,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,BetOnline.ag,Under,2.5,2.49,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Over,3.5,1.91,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,1xBet,Under,3.5,1.83,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,Pinnacle,Over,2.5,1.61,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,Pinnacle,Under,2.5,2.38,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,Coolbet,Over,2.5,1.63,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,Coolbet,Under,2.5,2.35,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,BetAnything,Over,2.5,1.59,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,BetAnything,Under,2.5,2.4,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Over,3.5,1.93,2026-06-14,2026-06-15
Alex Pereira,Ciryl Gane,PMU (FR),Under,3.5,1.81,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,BetOnline.ag,Over,1.5,1.87,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,BetOnline.ag,Under,1.5,1.95,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,Pinnacle,Over,1.5,1.88,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,Pinnacle,Under,1.5,1.96,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Over,1.5,1.95,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,1xBet,Under,1.5,1.8,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,Coolbet,Over,1.5,1.87,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,Coolbet,Under,1.5,1.95,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,BetAnything,Over,1.5,1.87,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,BetAnything,Under,1.5,1.87,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Over,1.5,2.02,2026-06-14,2026-06-15
Ilia Topuria,Justin Gaethje,PMU (FR),Under,1.5,1.74,2026-06-14,2026-06-15
Kevin Borjas,Andre Lima,1xBet,Over,2.5,1.63,2026-06-14,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Under,2.5,2.2,2026-06-14,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Over,1.5,1.68,2026-06-14,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Under,1.5,2.1,2026-06-14,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Over,1.5,1.45,2026-06-14,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Under,1.5,2.65,2026-06-14,2026-06-20
Luana Santos,Karol Rosa,1xBet,Over,2.5,1.22,2026-06-14,2026-06-20
Luana Santos,Karol Rosa,1xBet,Under,2.5,4.0,2026-06-14,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Over,1.5,1.5,2026-06-14,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Under,1.5,2.48,2026-06-14,2026-06-20
Manel Kape,Kyoji Horiguchi,1xBet,Over,2.5,1.38,2026-06-14,2026-06-21
Manel Kape,Kyoji Horiguchi,1xBet,Under,2.5,2.9,2026-06-14,2026-06-21
Brandon Royval,Lone'er Kavanagh,1xBet,Over,2.5,1.5,2026-06-14,2026-07-11
Brandon Royval,Lone'er Kavanagh,1xBet,Under,2.5,2.48,2026-06-14,2026-07-11
Gable Steveson,Elisha Ellison,1xBet,Over,0.5,1.45,2026-06-14,2026-07-12
Gable Steveson,Elisha Ellison,1xBet,Under,0.5,2.65,2026-06-14,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Over,2.5,1.4,2026-06-14,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Under,2.5,2.8,2026-06-14,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Over,2.5,2.16,2026-06-14,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Under,2.5,1.65,2026-06-14,2026-07-12
Conor McGregor,Max Holloway,1xBet,Over,2.5,2.05,2026-06-14,2026-07-12
Conor McGregor,Max Holloway,1xBet,Under,2.5,1.77,2026-06-14,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.33,2026-06-14,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.56,2026-06-14,2026-07-12
Mitch Raposo,Allan Nascimento,1xBet,Over,2.5,1.53,2026-06-15,2026-06-20
Mitch Raposo,Allan Nascimento,1xBet,Under,2.5,2.4,2026-06-15,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Over,2.5,1.63,2026-06-15,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Under,2.5,2.2,2026-06-15,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Over,1.5,1.68,2026-06-15,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Under,1.5,2.1,2026-06-15,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Over,1.5,1.45,2026-06-15,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Under,1.5,2.65,2026-06-15,2026-06-20
Luana Santos,Karol Rosa,1xBet,Over,2.5,1.22,2026-06-15,2026-06-20
Luana Santos,Karol Rosa,1xBet,Under,2.5,4.0,2026-06-15,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Over,1.5,1.5,2026-06-15,2026-06-20
Murtazali Magomedov,Melsik Baghdasaryan,1xBet,Under,1.5,2.48,2026-06-15,2026-06-20
Manel Kape,Kyoji Horiguchi,1xBet,Over,2.5,1.38,2026-06-15,2026-06-21
Manel Kape,Kyoji Horiguchi,1xBet,Under,2.5,2.9,2026-06-15,2026-06-21
Brandon Royval,Lone'er Kavanagh,1xBet,Over,2.5,1.5,2026-06-15,2026-07-11
Brandon Royval,Lone'er Kavanagh,1xBet,Under,2.5,2.48,2026-06-15,2026-07-11
Gable Steveson,Elisha Ellison,1xBet,Over,0.5,1.45,2026-06-15,2026-07-12
Gable Steveson,Elisha Ellison,1xBet,Under,0.5,2.65,2026-06-15,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Over,2.5,1.4,2026-06-15,2026-07-12
Cory Sandhagen,Mario Bautista,1xBet,Under,2.5,2.8,2026-06-15,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Over,2.5,2.16,2026-06-15,2026-07-12
Paddy Pimblett,Benoit Saint-Denis,1xBet,Under,2.5,1.65,2026-06-15,2026-07-12
Conor McGregor,Max Holloway,1xBet,Over,2.5,2.05,2026-06-15,2026-07-12
Conor McGregor,Max Holloway,1xBet,Under,2.5,1.77,2026-06-15,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Over,3.5,2.33,2026-06-15,2026-07-12
Conor McGregor,Max Holloway,PMU (FR),Under,3.5,1.56,2026-06-15,2026-07-12
Mitch Raposo,Allan Nascimento,BetOnline.ag,Over,2.5,1.59,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,BetOnline.ag,Under,2.5,2.49,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,1xBet,Over,2.5,1.53,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,1xBet,Under,2.5,2.4,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,Pinnacle,Over,2.5,1.58,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,Pinnacle,Under,2.5,2.42,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,Coolbet,Over,2.5,1.57,2026-06-16,2026-06-20
Mitch Raposo,Allan Nascimento,Coolbet,Under,2.5,2.5,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,BetOnline.ag,Over,2.5,1.91,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,BetOnline.ag,Under,2.5,1.91,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,Pinnacle,Over,2.5,1.95,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,Pinnacle,Under,2.5,1.87,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,Coolbet,Over,2.5,1.91,2026-06-16,2026-06-20
Vinicius Oliveira,Andre Fili,Coolbet,Under,2.5,1.91,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,BetOnline.ag,Over,2.5,1.8,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,BetOnline.ag,Under,2.5,2.05,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Over,2.5,1.63,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,1xBet,Under,2.5,2.2,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,Pinnacle,Over,2.5,1.79,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,Pinnacle,Under,2.5,2.05,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,Coolbet,Over,2.5,1.8,2026-06-16,2026-06-20
Kevin Borjas,Andre Lima,Coolbet,Under,2.5,2.05,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,BetOnline.ag,Over,1.5,1.91,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,BetOnline.ag,Under,1.5,1.91,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Over,1.5,1.68,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,1xBet,Under,1.5,2.1,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,Pinnacle,Over,1.5,1.91,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,Pinnacle,Under,1.5,1.91,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,Coolbet,Over,1.5,1.91,2026-06-16,2026-06-20
Melissa Mullins,Beatriz Mesquita,Coolbet,Under,1.5,1.91,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,BetOnline.ag,Over,2.5,1.56,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,BetOnline.ag,Under,2.5,2.57,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,1xBet,Over,2.5,1.65,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,1xBet,Under,2.5,2.22,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,Pinnacle,Over,2.5,1.6,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,Pinnacle,Under,2.5,2.37,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,Coolbet,Over,2.5,1.57,2026-06-16,2026-06-20
Christian Rodriguez,Hyder Amil,Coolbet,Under,2.5,2.45,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,BetOnline.ag,Over,2.5,1.62,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,BetOnline.ag,Under,2.5,2.4,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,1xBet,Over,2.5,1.63,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,1xBet,Under,2.5,2.2,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,Pinnacle,Over,2.5,1.62,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,Pinnacle,Under,2.5,2.31,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,Coolbet,Over,2.5,1.62,2026-06-16,2026-06-20
Michael Aswell,Gaston Bolanos,Coolbet,Under,2.5,2.3,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,BetOnline.ag,Over,1.5,1.57,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,BetOnline.ag,Under,1.5,2.45,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Over,2.5,2.1,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,1xBet,Under,2.5,1.71,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,Pinnacle,Over,1.5,1.56,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,Pinnacle,Under,1.5,2.46,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,Coolbet,Over,1.5,1.57,2026-06-16,2026-06-20
Ion Cutelaba,Navajo Stirling,Coolbet,Under,1.5,2.45,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,BetOnline.ag,Over,2.5,1.2,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,BetOnline.ag,Under,2.5,4.83,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,1xBet,Over,2.5,1.22,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,1xBet,Under,2.5,4.0,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,Pinnacle,Over,2.5,1.19,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,Pinnacle,Under,2.5,4.85,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,Coolbet,Over,2.5,1.2,2026-06-16,2026-06-20
Luana Santos,Karol Rosa,Coolbet,Under,2.5,4.85,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,Pinnacle,Over,1.5,2.43,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,Pinnacle,Under,1.5,1.57,2026-06-16,2026-06-20
Levan Chokheli,Leon Shahbazyan,Coolbet,Over,1.5,2.35,2026-06-16,2026-06-20
